text,fallacy_type,taxonomy_group,clean_text
"The spider that bit was poison, therefore all spiders are poison.",faulty generalization,Presumption Fallacy,spider bit poison therefore spider poison
“Gay marriages are just immoral. 70% of Americans think so!”,ad populum,Relevance Fallacy,gay marriage immoral american think
"""You can't give me a D because I'm an A student!""",circular reasoning,Presumption Fallacy,cant give im student
"dude #1: ""I support Black Lives Matter's mission to establish and put into better practice restorative justice...""

dude #2: But don't all lives matter?

dude #1: Of course, but I'm telling you about the mission of BLM.",fallacy of relevance,Relevance Fallacy,dude support black life matter mission establish put better practice restorative justice dude dont life matter dude course im telling mission blm
"I hope the art mural at 34th and Habersham will not be allowed. You open the gate for one, you open it for all and you'll have it all over the city. A person wanting to paint on buildings is nothing more than upscale graffiti. More than likely it will go too far.",faulty generalization,Presumption Fallacy,hope art mural th habersham allowed open gate one open youll city person wanting paint building nothing upscale graffiti likely go far
someone who is poor is more credible than someone who is rich?,fallacy of credibility,Relevance Fallacy,someone poor credible someone rich
"“Feminists want to ban all pornography and punish everyone who looks at it! But such harsh measures are surely inappropriate, so the feminists are wrong: porn and its fans should be left in peace.”",fallacy of extension,Clarity Fallacy,feminist want ban pornography punish everyone look harsh measure surely inappropriate feminist wrong porn fan left peace
"""I have a right to free speech so I can say what I want and you shouldn't try to stop me"" is an example of",circular reasoning,Presumption Fallacy,right free speech say want shouldnt try stop example
"Your sister broke her arm, and then you broke your nose. So you assume that a sibling breaking a bone causes you to break one too.",false causality,Presumption Fallacy,sister broke arm broke nose assume sibling breaking bone cause break one
Putting teenagers in sex-education classes is like taking an alcoholic to a bar.,fallacy of logic,Clarity Fallacy,putting teenager sexeducation class like taking alcoholic bar
Companies that make huge profits must be exploiting their customers because the only way a company could make large profits is by taking advantage of their customers.,circular reasoning,Presumption Fallacy,company make huge profit must exploiting customer way company could make large profit taking advantage customer
"Evolution cannot be true. If it were true, we’d all be smelly apes.",appeal to emotion,Relevance Fallacy,evolution true true wed smelly ape
"If you drive without car insurance, then you’re an accident waiting to happen.
Stay protected with Auto Union insurance.",false dilemma,Presumption Fallacy,drive without car insurance youre accident waiting happen stay protected auto union insurance
"At a party you overhear a friend tell her spouse, “I had high blood pressure at the doctor’s office today; I really need to reduce the stress in my job.”",faulty generalization,Presumption Fallacy,party overhear friend tell spouse high blood pressure doctor office today really need reduce stress job
"While in math class, the student next to you says “math makes no sense, it can’t be real so I must not need this.” What fallacy did this student commit?",intentional,Clarity Fallacy,math class student next say math make sense cant real must need fallacy student commit
"Atoms are colorless. Cats are made of atoms, so cats are colorless",faulty generalization,Presumption Fallacy,atom colorless cat made atom cat colorless
"Teachers claim that cell phones distract students, but they only say that because teachers have no lives.",ad hominem,Relevance Fallacy,teacher claim cell phone distract student say teacher life
"Look Tom, you could go to the police with your information about our questionable accounting practices here at Bentron. But remember, you have a family to feed. Besides you know how rumors of this kind of disloyalty can spread through the industry. You'll ever work as an accountant in this town again.",appeal to emotion,Relevance Fallacy,look tom could go police information questionable accounting practice bentron remember family feed besides know rumor kind disloyalty spread industry youll ever work accountant town
"Every person who has ever drunk water has died. Therefore, drinking water causes death.",false causality,Presumption Fallacy,every person ever drunk water died therefore drinking water cause death
Deliberately using a fake issue or argument against someone because it’s easier to prove wrong than the real issue would be,fallacy of extension,Clarity Fallacy,deliberately using fake issue argument someone easier prove wrong real issue would
"I did not complete my homework last night? Well, you did not do yours last weak either.",ad hominem,Relevance Fallacy,complete homework last night well last weak either
"Either you love me, or you hate me.",false dilemma,Presumption Fallacy,either love hate
"Although we have proven that the moon is not made of short ribs, we have not proven that its core cannot be filled with them; therefore, the moon’s core is filled with short ribs.",intentional,Clarity Fallacy,although proven moon made short rib proven core filled therefore moon core filled short rib
"Jack is a good athlete. Jack comes from Canada. Therefore, all Canadians are good athletes.",faulty generalization,Presumption Fallacy,jack good athlete jack come canada therefore canadian good athlete
a mad scientist builds a rocket to the sun but plans to embark at night to avoid being cremated.,fallacy of logic,Clarity Fallacy,mad scientist build rocket sun plan embark night avoid cremated
You should fly an American flag off your front porch. It’s the patriotic thing to do.,ad populum,Relevance Fallacy,fly american flag front porch patriotic thing
"Unfair judgement of people based on looks, belief, or ethnic background.",faulty generalization,Presumption Fallacy,unfair judgement people based look belief ethnic background
If I make an exception for you then I'll have to make an exception for everyone,faulty generalization,Presumption Fallacy,make exception ill make exception everyone
"My new way of obtaining informed consent helps prevent dropouts. I chose the three therapists in our clinic who had the highest dropout rates and taught them my new informed consent procedure. The first month that they started using it, all three had significantly lower dropout rates.",false causality,Presumption Fallacy,new way obtaining informed consent help prevent dropout chose three therapist clinic highest dropout rate taught new informed consent procedure first month started using three significantly lower dropout rate
"We, the people, are going to work together to achieve justice, unity, and integrity.",appeal to emotion,Relevance Fallacy,people going work together achieve justice unity integrity
"Oh please, what do you know about labor laws? You don't even have a job.",ad hominem,Relevance Fallacy,oh please know labor law dont even job
"Tim: Boss, you heard my side of the story why I think Bill should be fired and not me.  Now, I am sure Bill is going to come to you with some pathetic attempt to weasel out of this lie that he has created.
",ad hominem,Relevance Fallacy,tim bos heard side story think bill fired sure bill going come pathetic attempt weasel lie created
You can’t give me a C. I’ll lose my scholarship.,appeal to emotion,Relevance Fallacy,cant give c ill lose scholarship
"My opponent is an untrustworthy liar and an idiot. Therefore, you should believe me.",ad hominem,Relevance Fallacy,opponent untrustworthy liar idiot therefore believe
"""In the business meeting, she proposed a new advertising plan for the dog food brand, but I found out she actually hates dogs. How can we trust her advertising skills?""",ad hominem,Relevance Fallacy,business meeting proposed new advertising plan dog food brand found actually hate dog trust advertising skill
"I guess I should buy my 12 year old daughter an iPhone. Everyone at her school has one, and I want her to fit in with the other kids.",ad populum,Relevance Fallacy,guess buy year old daughter iphone everyone school one want fit kid
"The book Investing for Dummies really helped me understand my finances better. The book Chess for Dummies was written by the same author, was published by the same press, and costs about the same amount, so it will probably help me understand my finances, too.",fallacy of logic,Clarity Fallacy,book investing dummy really helped understand finance better book chess dummy written author published press cost amount probably help understand finance
"""Right when I sneezed, the power went off. I must've caused the outage."" Bragged Zohaw.",false causality,Presumption Fallacy,right sneezed power went mustve caused outage bragged zohaw
We can have Sally as our soldier or we can have Brittany be the queen of the kingdom.,false dilemma,Presumption Fallacy,sally soldier brittany queen kingdom
"If we legalize marijuana, then more people will try heroin",faulty generalization,Presumption Fallacy,legalize marijuana people try heroin
"In her paper, Aida states ""Filthy, polluting hummers should be banned.""
Name that fallacy:",circular reasoning,Presumption Fallacy,paper aida state filthy polluting hummer banned name fallacy
The secretary claims that mining is doing more harm than good to the environment and to the people. The pro-mining politicians accused her of being anti-poor who values the life of a tree more than the life of miners whose only source of income is mining.,fallacy of extension,Clarity Fallacy,secretary claim mining harm good environment people promining politician accused antipoor value life tree life miner whose source income mining
"Famous actors like Alex Gonzaga and Philip Salvador support Oplan Tokhang, so it must be an effective operation.",fallacy of credibility,Relevance Fallacy,famous actor like alex gonzaga philip salvador support oplan tokhang must effective operation
AttP 8: everyone having strict controls on firearms except the U.S.,ad populum,Relevance Fallacy,attp everyone strict control firearm except u
"All stars are exploding balls of gas.
Miley Cyrus is a star.
Therefore, Miley Cyrus is an exploding ball of gas",equivocation,Clarity Fallacy,star exploding ball gas miley cyrus star therefore miley cyrus exploding ball gas
"Which fallacy literally means ""He did it himself?""",fallacy of credibility,Relevance Fallacy,fallacy literally mean
"""Everytime I wash my car it rains; therefore, washing my car makes it rain.""",false causality,Presumption Fallacy,everytime wash car rain therefore washing car make rain
"Pamela says that she thinks that the class should do more service projects. Mark says he can't believe that Pamela doesn't support the annual school dance.
Pamela dice que ella piensa que la clase debería hacer más proyectos de servicio. Mark dice que no puede creer que Pamela no apoye el baile escolar anual",fallacy of extension,Clarity Fallacy,pamela say think class service project mark say cant believe pamela doesnt support annual school dance pamela dice que ella piensa que la clase debera hacer m proyectos de servicio mark dice que puede creer que pamela apoye el baile escolar anual
"Christina's shoes are superior, because they're made from one hundred percent snakeskin, not synthetic materials.",fallacy of credibility,Relevance Fallacy,christinas shoe superior theyre made one hundred percent snakeskin synthetic material
"""Do the best for your baby""  is an example of ...",appeal to emotion,Relevance Fallacy,best baby example
"When Squealer/Napoleon calls Snowball a 'traitor', and 'criminal'",ad hominem,Relevance Fallacy,squealernapoleon call snowball traitor criminal
Don't you want the best for your baby?,appeal to emotion,Relevance Fallacy,dont want best baby
Fatima sneezed and she caused a tsunami in Tokyo.,false causality,Presumption Fallacy,fatima sneezed caused tsunami tokyo
You can either start using plastic straws or continue killing ocean life with plastic pollution.,false dilemma,Presumption Fallacy,either start using plastic straw continue killing ocean life plastic pollution
the best money can buy…  (Don’t mention it’s expensive and often needs repair.),intentional,Clarity Fallacy,best money buy dont mention expensive often need repair
Mr. Casal is a bad teacher because he stinks.,ad hominem,Relevance Fallacy,mr casal bad teacher stink
"Jill and Jane have some concerns that the rules their sorority has set are racist in character. Since Jill is a decent person, she brings her concerns up in the next meeting. The president of the sorority assures her that there is nothing wrong with the rules, since the majority of the sisters like them. Jane accepts this ruling but Jill decides to leave the sorority.",ad populum,Relevance Fallacy,jill jane concern rule sorority set racist character since jill decent person brings concern next meeting president sorority assures nothing wrong rule since majority sister like jane accepts ruling jill decides leave sorority
"""I had a bad teacher once; therefore, all teachers must be bad.""",faulty generalization,Presumption Fallacy,bad teacher therefore teacher must bad
"Kevin's dog scratched his leg, and that night he had a fever. Kevin concluded that his dog must have infected him with something.",false causality,Presumption Fallacy,kevins dog scratched leg night fever kevin concluded dog must infected something
"There are more laws on the books than ever before, and more crimes are being committed than ever before. Therefore, to reduce crime, we must eliminate the laws.",false causality,Presumption Fallacy,law book ever crime committed ever therefore reduce crime must eliminate law
"Men score better on math than women do. Jerry is a man. Therefore, Jerry is better at math than Sylvia, who is a woman.",faulty generalization,Presumption Fallacy,men score better math woman jerry man therefore jerry better math sylvia woman
Misrepresenting someone’s argument to make it easier to attack,fallacy of extension,Clarity Fallacy,misrepresenting someone argument make easier attack
"""You know me - I've taught Sunday School at your church for years, babysat your children, and served as a playground director for many summers - so you know I can run your preschool.""?",fallacy of credibility,Relevance Fallacy,know ive taught sunday school church year babysat child served playground director many summer know run preschool
men don’t cry,faulty generalization,Presumption Fallacy,men dont cry
A real estate ad shows a happy family moving in to the home of their dreams.,appeal to emotion,Relevance Fallacy,real estate ad show happy family moving home dream
"God did not create the world six thousand years ago because matter has always existed, and therefore the world has always existed.",circular reasoning,Presumption Fallacy,god create world six thousand year ago matter always existed therefore world always existed
"It's common sense that if you smack your children, they will stop the bad behavior. So don't tell me not to hit my kids.",intentional,Clarity Fallacy,common sense smack child stop bad behavior dont tell hit kid
"BILL CLINTON: But when Joe McCarthy went around this country attacking people’s patriotism, he was wrong. He was wrong. And a senator from Connecticut stood up to him named Prescott Bush. Your father was right to stand up to Joe McCarthy, you were wrong to attack my patriotism. I was opposed to the war but I loved my country… Debate 1,
October 11, 1992
St. Louis, Missouri
What logical fallacy did Clinton’s statement employ?",ad hominem,Relevance Fallacy,bill clinton joe mccarthy went around country attacking people patriotism wrong wrong senator connecticut stood named prescott bush father right stand joe mccarthy wrong attack patriotism opposed war loved country debate october st louis missouri logical fallacy clinton statement employ
"""Every time I go to sleep the sun goes down. Therefore, my sleeping causes the sun to set.""",false causality,Presumption Fallacy,every time go sleep sun go therefore sleeping cause sun set
If I don't get this 5 point assignment done then I will fall behind in my grade and will get backed up so I can't get my other assignment done. Then I will fail the class and turn to a life of crime.,faulty generalization,Presumption Fallacy,dont get point assignment done fall behind grade get backed cant get assignment done fail class turn life crime
Presents only two choices when more options exist,false dilemma,Presumption Fallacy,present two choice option exist
"If we keep kids from enjoying recess, eventually they will never want to preserve nature.",faulty generalization,Presumption Fallacy,keep kid enjoying recess eventually never want preserve nature
What’s the point of making drinking illegal under the age of 21?  Kids still manage to get alcohol.,intentional,Clarity Fallacy,whats point making drinking illegal age kid still manage get alcohol
"""Cars cause more deaths than firearms do, so if we ban firearms we should also ban cars.""",fallacy of logic,Clarity Fallacy,car cause death firearm ban firearm also ban car
"""You will never be satisfied in life if you don’t seize this opportunity. Do you want to live the rest of your years yearning to know what would have happened if you just jumped when you had the chance?"" Which appeal is the primary appeal used in this quote?",appeal to emotion,Relevance Fallacy,never satisfied life dont seize opportunity want live rest year yearning know would happened jumped chance appeal primary appeal used quote
SM 3: Polls concerning global warming,ad populum,Relevance Fallacy,sm poll concerning global warming
Everybody loves Raymond because he is so popular. Popular people are loved by everybody.,circular reasoning,Presumption Fallacy,everybody love raymond popular popular people loved everybody
Everyone does it.  You should too.,ad populum,Relevance Fallacy,everyone
"""She's such a mean teacher and person – that's why she wouldn't raise my grade ONE percent!""",ad hominem,Relevance Fallacy,shes mean teacher person thats wouldnt raise grade one percent
"The officer told me to freeze but it was too hot out to be freezing, so I was justified in running away.",equivocation,Clarity Fallacy,officer told freeze hot freezing justified running away
"All boys are sports fans.
Some bakers are boys.
Therefore, some bakers are not sports fans.",fallacy of logic,Clarity Fallacy,boy sport fan baker boy therefore baker sport fan
"You can buy the new Sensitivity perfume, or you can smell bad all day.",false dilemma,Presumption Fallacy,buy new sensitivity perfume smell bad day
Appealing to popularity or the fact that many people do something as an attempted form of validation,ad populum,Relevance Fallacy,appealing popularity fact many people something attempted form validation
“Police officers agree that Blackjack Steering Wheel Locks are the most effective deterrent against car theft.”,fallacy of credibility,Relevance Fallacy,police officer agree blackjack steering wheel lock effective deterrent car theft
Mr. Casal was very tired because he had no energy.,circular reasoning,Presumption Fallacy,mr casal tired energy
"I like my steak rare. But I don’t care for aardvark steak, even though it’s the rarest steak in the world.",equivocation,Clarity Fallacy,like steak rare dont care aardvark steak even though rarest steak world
Habib didn't remember to take out the trash this morning. It will pile up and the neighbors will complain and the health inspectors will come and take away the kids.,faulty generalization,Presumption Fallacy,habib didnt remember take trash morning pile neighbor complain health inspector come take away kid
The music industry must either raise album prices or reduce pay for technicians and producers.,false dilemma,Presumption Fallacy,music industry must either raise album price reduce pay technician producer
"Primitive people believed in gods to explain natural phenomena. We have science, and are not primitive anymore. Therefore, there is no God.",ad hominem,Relevance Fallacy,primitive people believed god explain natural phenomenon science primitive anymore therefore god
"Either you can save your money to buy a new car for yourself, or you can just take an Uber around for the rest of your life.",false dilemma,Presumption Fallacy,either save money buy new car take uber around rest life
Why did the blond cross the road?  Because she saw a shoe sale!,faulty generalization,Presumption Fallacy,blond cross road saw shoe sale
"You cannot blame your friends for a rain delay just because every time they go with you to a ballgame it storms and
play is delayed. Likewise, the fact that a pitcher bought new socks before he pitched a winning game does not mean that new
socks cause a pitcher to throw faster.",false causality,Presumption Fallacy,blame friend rain delay every time go ballgame storm play delayed likewise fact pitcher bought new sock pitched winning game mean new sock cause pitcher throw faster
"The phrase, ""Almost everyone that was asked said that McDonalds is better than Burger King, so it must be true,"" represents which fallacy?",ad populum,Relevance Fallacy,phrase almost everyone asked said mcdonalds better burger king must true represents fallacy
"The school is in bad shape. Either we tear it down and put up a new building, or we continue to risk students’ safety. Obviously, we shouldn’t risk anyone’s safety, so we must tear the building down.”",false dilemma,Presumption Fallacy,school bad shape either tear put new building continue risk student safety obviously shouldnt risk anyones safety must tear building
"Employees are like nails. Just as nails must be hit in the head in order to make them work, so must employees.",fallacy of logic,Clarity Fallacy,employee like nail nail must hit head order make work must employee
"""Good morning! Have you gotten over the grouchy mood you were in?""",intentional,Clarity Fallacy,good morning gotten grouchy mood
"Dean, the company you work for just filed for bankruptcy! How can I trust you with our money?",faulty generalization,Presumption Fallacy,dean company work filed bankruptcy trust money
The house is white; therefore it must be big,fallacy of logic,Clarity Fallacy,house white therefore must big
This seat belt ad is using which type of persuasive appeal? It has a picture which might make people feel sad.,appeal to emotion,Relevance Fallacy,seat belt ad using type persuasive appeal picture might make people feel sad
"Mom: (looking at report card) How do you have an F in English?!
Son: I don’t know.  Did you see that loaded the dishwasher?  I was about to go mow the lawn.  Need me to do anything else?",fallacy of relevance,Relevance Fallacy,mom looking report card f english son dont know see loaded dishwasher go mow lawn need anything else
A smoke screen to cover the truth; a clue that is misleading or distracting.,fallacy of relevance,Relevance Fallacy,smoke screen cover truth clue misleading distracting
"President Clinton being a moral man, being married and loving his daughter; talking about the Bible; going to church",intentional,Clarity Fallacy,president clinton moral man married loving daughter talking bible going church
Asking a respected scientist to weigh in on matters of economics is what fallacy?,fallacy of credibility,Relevance Fallacy,asking respected scientist weigh matter economics fallacy
We think that Malltime will be a success because all little girls like shopping.,faulty generalization,Presumption Fallacy,think malltime success little girl like shopping
Evolution is the idea that humans come from pond scum.,appeal to emotion,Relevance Fallacy,evolution idea human come pond scum
Katie likes to read and would rather do that than play sports. Her friends make fun of her and tell her that reading is for nerds. Katie stops reading so much and starts to play sports more.,ad populum,Relevance Fallacy,katie like read would rather play sport friend make fun tell reading nerd katie stop reading much start play sport
"The research and reasoning that supposedly supports (or that supposedly discredits) this intervention are a joke. The researchers are people who are not methodologically sophisticated and there have been rumors--I have no idea whether they're true or not--that they faked some of the data. The advocates (or opponents) of this intervention are the worst kind of sloppy thinkers. They are fanatical adherents who already have their minds made up; they've become true believers in their cause. They make arguments only a stupid person would accept, and mistakes in reasoning that would make an undergrad psych major blush. These are not the kind of people who deserve to be taken seriously.",ad hominem,Relevance Fallacy,research reasoning supposedly support supposedly discredit intervention joke researcher people methodologically sophisticated rumorsi idea whether theyre true notthat faked data advocate opponent intervention worst kind sloppy thinker fanatical adherent already mind made theyve become true believer cause make argument stupid person would accept mistake reasoning would make undergrad psych major blush kind people deserve taken seriously
It occurs when someone makes an appeal to emotion of pity instead of addressing the argument.,appeal to emotion,Relevance Fallacy,occurs someone make appeal emotion pity instead addressing argument
"Person 1: Bicycle infrastructure should be expanded because cycling is a sustainable mode of transportation. 
Person 2: We should not build bike lanes because cyclists run red lights and endanger pedestrians.",fallacy of extension,Clarity Fallacy,person bicycle infrastructure expanded cycling sustainable mode transportation person build bike lane cyclist run red light endanger pedestrian
A commercial featuring starving children in Africa asking for donations to help provide food and clean water to those in need.,appeal to emotion,Relevance Fallacy,commercial featuring starving child africa asking donation help provide food clean water need
"J: Cats are better than dogs.
V: Dogs are better.
J: You are a lazy person. You won't even be able to take care of a dog.",ad hominem,Relevance Fallacy,j cat better dog v dog better j lazy person wont even able take care dog
1. “iPhones are the best smartphones on the market because Apple makes the best smartphones.”,circular reasoning,Presumption Fallacy,iphones best smartphones market apple make best smartphones
"My neighbor told me that the position of the sun, moon, and stars decide our personalities. I believe her because she is a famous violin player.",fallacy of credibility,Relevance Fallacy,neighbor told position sun moon star decide personality believe famous violin player
"Steve: In Sweden, college is free for citizens. How come we can't do that here?

Ed: If you like Sweden so much, move there. The USA would be glad to be rid of your liberal ass!",ad hominem,Relevance Fallacy,steve sweden college free citizen come cant ed like sweden much move usa would glad rid liberal as
"Senator: I will vote to increase the defense budget.

Public: Why don't you care about education?",fallacy of extension,Clarity Fallacy,senator vote increase defense budget public dont care education
Delores is a big supporter for equal pay for equal work.  This is the same policy that all those extreme feminist groups support.  Extremists like Delores should not be taken seriously -- at least politically.,faulty generalization,Presumption Fallacy,delores big supporter equal pay equal work policy extreme feminist group support extremist like delores taken seriously least politically
I've had bad luck for so long that I'm bound to have good luck now.,false causality,Presumption Fallacy,ive bad luck long im bound good luck
"""Everyone who likes pizza likes pepperoni"" is an example of",faulty generalization,Presumption Fallacy,everyone like pizza like pepperoni example
"If you don’t go to the party, then your friends will have fun without you. If your friends have fun without you, then they will stop inviting you to fun things. If your friends stop inviting you to fun things, you will have no social life. Therefore, if you don’t go to this party, then you will have no social life.",faulty generalization,Presumption Fallacy,dont go party friend fun without friend fun without stop inviting fun thing friend stop inviting fun thing social life therefore dont go party social life
"When your parent asks you why you have a bad grade in math class, and you answer, ""All teachers are the enemy!""",fallacy of relevance,Relevance Fallacy,parent asks bad grade math class answer teacher enemy
"""My roommate said her philosophy class was hard, and the one I'm in is hard, too. All philosophy classes must be hard!”",faulty generalization,Presumption Fallacy,roommate said philosophy class hard one im hard philosophy class must hard
"No animals are insects.
No insects are dogs.
Therefore, no dogs are animals.",fallacy of logic,Clarity Fallacy,animal insect insect dog therefore dog animal
"Claim: You can't give me a C in this course...
Reason: ... Because I am an A student.
Warrant: An A student is someone who can't receive Cs.",circular reasoning,Presumption Fallacy,claim cant give c course reason student warrant student someone cant receive c
an attempt to persuade the reader/audience based on feelings or emotions; emotional response,appeal to emotion,Relevance Fallacy,attempt persuade readeraudience based feeling emotion emotional response
"The economy continues to grow as the number of ""likes"" on my Instagram account continue to increase. Clearly, the two are linked.",false causality,Presumption Fallacy,economy continues grow number like instagram account continue increase clearly two linked
"All teachers drink coffee and teachers are people; therefore, all people drink coffee.",faulty generalization,Presumption Fallacy,teacher drink coffee teacher people therefore people drink coffee
Parents today would rather their kids suppress their identity rather than just be who they are even if it doesn't go with the norm.,faulty generalization,Presumption Fallacy,parent today would rather kid suppress identity rather even doesnt go norm
"Charlie: Illegal posting and sharing of songs online is crippling the music industry.

Bob: You couldn’t be more wrong; the music industry is doing just fine. I can’t believe you think the government should be allowed to regulate what I share with my “friends.” No one wants a world where I can’t loan a book to my girlfriend, let my roommate borrow my iPod, or share a funny meme with my blog followers.",fallacy of extension,Clarity Fallacy,charlie illegal posting sharing song online crippling music industry bob couldnt wrong music industry fine cant believe think government allowed regulate share friend one want world cant loan book girlfriend let roommate borrow ipod share funny meme blog follower
"""I can't trust that doctor's advice on how to raise my child. He has never been a mother.
This is an example of",ad hominem,Relevance Fallacy,cant trust doctor advice raise child never mother example
"in response to the claim that ""Eating fast food is unhealthy"": “But I saw you eat a burger and fries for lunch only a few hours ago!""",ad hominem,Relevance Fallacy,response claim eating fast food unhealthy saw eat burger fry lunch hour ago
"Every time I wash my car, it rains the next day. My car washing definitely affects the weather.",false causality,Presumption Fallacy,every time wash car rain next day car washing definitely affect weather
"Barbara believes the marketing agency's office is haunted. The cleaning crew once said they heard a other-worldly noise late at night. Since no one could prove that it wasn't a ghost, the office must be haunted.",intentional,Clarity Fallacy,barbara belief marketing agency office haunted cleaning crew said heard otherworldly noise late night since one could prove wasnt ghost office must haunted
"Everyone loves Rebecca, because she is so popular.",faulty generalization,Presumption Fallacy,everyone love rebecca popular
"Victor, the company you work for just filed for bankruptcy! How can I trust you with our money?",faulty generalization,Presumption Fallacy,victor company work filed bankruptcy trust money
America:  love it or leave it. Either you’re for us or against us.,false dilemma,Presumption Fallacy,america love leave either youre u u
“You should always do what you are being told because following the rules is important.”,circular reasoning,Presumption Fallacy,always told following rule important
"""Avoid Latam Airlines. Their planes are always late"" is what kind of fallacy?",faulty generalization,Presumption Fallacy,avoid latam airline plane always late kind fallacy
"Since many of the students at St. Cloud State University get A's, St. Cloud State must  be a top-rated school.",faulty generalization,Presumption Fallacy,since many student st cloud state university get st cloud state must toprated school
He can't be a great athlete; he cheated on his wife.,ad hominem,Relevance Fallacy,cant great athlete cheated wife
"Marco cusses a lot, so you can't listen to a thing he says. He's not a good guy.",ad hominem,Relevance Fallacy,marco cuss lot cant listen thing say he good guy
"My cousin Bob works as a mechanic at Oil Changers and he says that renewable energy sources, such as solar and wind power, aren't going to provide any help in fixing our nation's energy crisis.",fallacy of credibility,Relevance Fallacy,cousin bob work mechanic oil changer say renewable energy source solar wind power arent going provide help fixing nation energy crisis
"Morris: Oh youthful spirit, you have so much to learn.  I know for a fact that there are multiple dimensions that beings occupy.
Clifton: How can you possibly *know* that for a fact?
Morris: (raises one eyebrow, stares deeply into the eyes of Clifton and says nothing)
Clifton: Wow. You convinced me!
",fallacy of relevance,Relevance Fallacy,morris oh youthful spirit much learn know fact multiple dimension being occupy clifton possibly know fact morris raise one eyebrow stare deeply eye clifton say nothing clifton wow convinced
"You need to go to the party with me, otherwise you’ll just be bored at home.",false dilemma,Presumption Fallacy,need go party otherwise youll bored home
Free trade will be good for this country. The reason is patently clear. Isn't it obvious that unrestricted commercial relations will bestow on all sections of this nation the benefits which result when there is an unimpeded flow of goods between countries?,circular reasoning,Presumption Fallacy,free trade good country reason patently clear isnt obvious unrestricted commercial relation bestow section nation benefit result unimpeded flow good country
"Animals tread softly upon the earth without shoes, so all other living beings should follow suit.",fallacy of credibility,Relevance Fallacy,animal tread softly upon earth without shoe living being follow suit
The Volkswagen Beetle is an evil car because it was originally designed by Hitler’s army.,ad hominem,Relevance Fallacy,volkswagen beetle evil car originally designed hitler army
"Recognising that Amanda had committed a fallacy in arguing that we should eat healthy food because a nutritionist said it was popular, Alyse said we should therefore eat bacon double cheeseburgers every day.",fallacy of logic,Clarity Fallacy,recognising amanda committed fallacy arguing eat healthy food nutritionist said popular alyse said therefore eat bacon double cheeseburger every day
Valencia bought a different brand of detergent at the store. She developed a rash after wearing clothes washed in the new detergent. She concluded that she was allergic to the new soap. What type of reasoning is this?,false causality,Presumption Fallacy,valencia bought different brand detergent store developed rash wearing clothes washed new detergent concluded allergic new soap type reasoning
"surgeons have X-rays to guide them during an operation, lawyers have briefs to guide them during a trial, carpenters have blueprints to guide them when they are building a house. Why, then, shouldn’t students be allowed to look at their textbooks during an examination?",fallacy of logic,Clarity Fallacy,surgeon xrays guide operation lawyer brief guide trial carpenter blueprint guide building house shouldnt student allowed look textbook examination
People who drive big cars probably hate the environment.,fallacy of extension,Clarity Fallacy,people drive big car probably hate environment
"White men can't jump. No, really, they can't!",faulty generalization,Presumption Fallacy,white men cant jump really cant
"'Cotton and grain crops were lower this year than last. So, people must be stealing them.""
This is an example of what kind of logical fallacy?",fallacy of logic,Clarity Fallacy,cotton grain crop lower year last people must stealing example kind logical fallacy
"""Why are you hitting your computer!?""
""The last time my wifi was weak, I hit my computer and it got better."" What is this?",false causality,Presumption Fallacy,hitting computer last time wifi weak hit computer got better
All students are good and all clowns are bad.,faulty generalization,Presumption Fallacy,student good clown bad
"""People who don't support the proposed state minimum wage increase must hate the poor so much.""

Which logical fallacy is used in the statement above?",fallacy of extension,Clarity Fallacy,people dont support proposed state minimum wage increase must hate poor much logical fallacy used statement
"Charlie: Illegal posting and sharing of songs online is crippling the music industry.
Bob: You couldn't be more wrong; the music industry is doing just fine! I can't believe you think the government should be allowed to regulate what I share with my friends. No one wants a world where I can't loan a book to my girlfriend, let my roommate borrow my iPod, or share a funny meme with my blog followers.",fallacy of extension,Clarity Fallacy,charlie illegal posting sharing song online crippling music industry bob couldnt wrong music industry fine cant believe think government allowed regulate share friend one want world cant loan book girlfriend let roommate borrow ipod share funny meme blog follower
"Paige wants to play a guitar solo on our next recording. Her father is a horrible musician, though, so I doubt that Paula's any good either.",faulty generalization,Presumption Fallacy,paige want play guitar solo next recording father horrible musician though doubt paulas good either
"My sister-in-law, who is a teacher, said that this school is not somewhere that I would want to send my children.",fallacy of credibility,Relevance Fallacy,sisterinlaw teacher said school somewhere would want send child
something that kills is deadly,circular reasoning,Presumption Fallacy,something kill deadly
"“The rooster crows always before the sun rises, therefore the crowing rooster causes the sun to rise.”",false causality,Presumption Fallacy,rooster crow always sun rise therefore crowing rooster cause sun rise
1 = a number; 2 = a number; therefore 1 = 2.,faulty generalization,Presumption Fallacy,number number therefore
“against the man;” attacking the individual rather than their position.,ad hominem,Relevance Fallacy,man attacking individual rather position
"Makes the claim that EVERYONE is using this product, and you should, too.",ad populum,Relevance Fallacy,make claim everyone using product
I can't trust the mayor or the governor. All politicians must be liars.,faulty generalization,Presumption Fallacy,cant trust mayor governor politician must liar
"""I'm French and I don't like cheese.""
""All French like cheese.""
""I don't.""
""Then you must not really be French.""",intentional,Clarity Fallacy,im french dont like cheese french like cheese dont must really french
Everyone is going to get the new smart phone when it comes out this weekend. Why aren’t you?,ad populum,Relevance Fallacy,everyone going get new smart phone come weekend arent
